model,OUI,testID,result
Netgear-EX6120,80cc9c,inet-dns-000001,fail
Netgear-EX6120,80cc9c,ntp-000001,fail
Netgear-EX6120,80cc9c,uhttpd-000001,pass
Netgear-EX6120,80cc9c,firewall-fw4-test-000001,pass
Netgear-EX6120,80cc9c,opkg-unzip-000001,fail
Netgear-EX6120,80cc9c,all-radio-on-000001,pass
Netgear-EX6120,80cc9c,wireless-extra-options-radio0-5g-36-10-psk2+ccmp,pass
Netgear-EX6120,80cc9c,wireless-extra-options-radio1-2g-11-10-psk2,pass
Netgear-EX6120,80cc9c,radio0-5g-36-4-psk2,pass
Netgear-EX6120,80cc9c,radio0-5g-36-4-sae,pass
Netgear-EX6120,80cc9c,radio0-5g-36-4-sae-mixed,pass
Netgear-EX6120,80cc9c,radio0-5g-36-1-psk2,pass
Netgear-EX6120,80cc9c,radio0-5g-36-1-sae,pass
Netgear-EX6120,80cc9c,radio0-5g-36-1-sae-mixed,pass
Netgear-EX6120,80cc9c,radio0-5g-100-4-psk2,pass
Netgear-EX6120,80cc9c,radio0-5g-100-4-sae,pass
Netgear-EX6120,80cc9c,radio0-5g-100-4-sae-mixed,pass
Netgear-EX6120,80cc9c,radio0-5g-100-1-psk2,pass
Netgear-EX6120,80cc9c,radio0-5g-100-1-sae,pass
Netgear-EX6120,80cc9c,radio0-5g-100-1-sae-mixed,pass
Netgear-EX6120,80cc9c,radio0-5g-149-4-psk2,pass
Netgear-EX6120,80cc9c,radio0-5g-149-4-sae,pass
Netgear-EX6120,80cc9c,radio0-5g-149-4-sae-mixed,pass
Netgear-EX6120,80cc9c,radio0-5g-149-1-psk2,pass
Netgear-EX6120,80cc9c,radio0-5g-149-1-sae,pass
Netgear-EX6120,80cc9c,radio0-5g-149-1-sae-mixed,pass
Netgear-EX6120,80cc9c,radio0-5g-165-4-psk2,pass
Netgear-EX6120,80cc9c,radio0-5g-165-4-sae,pass
Netgear-EX6120,80cc9c,radio0-5g-165-4-sae-mixed,pass
Netgear-EX6120,80cc9c,radio0-5g-165-1-psk2,pass
Netgear-EX6120,80cc9c,radio0-5g-165-1-sae,pass
Netgear-EX6120,80cc9c,radio0-5g-165-1-sae-mixed,pass
Netgear-EX6120,80cc9c,radio1-2g-1-10-psk2,pass
Netgear-EX6120,80cc9c,radio1-2g-1-10-sae,pass
Netgear-EX6120,80cc9c,radio1-2g-1-10-sae-mixed,pass
Netgear-EX6120,80cc9c,radio1-2g-1-1-psk2,pass
Netgear-EX6120,80cc9c,radio1-2g-1-1-sae,pass
Netgear-EX6120,80cc9c,radio1-2g-1-1-sae-mixed,pass
Netgear-EX6120,80cc9c,radio1-2g-6-10-psk2,pass
Netgear-EX6120,80cc9c,radio1-2g-6-10-sae,pass
Netgear-EX6120,80cc9c,radio1-2g-6-10-sae-mixed,pass
Netgear-EX6120,80cc9c,radio1-2g-6-1-psk2,pass
Netgear-EX6120,80cc9c,radio1-2g-6-1-sae,pass
Netgear-EX6120,80cc9c,radio1-2g-6-1-sae-mixed,pass
Netgear-EX6120,80cc9c,radio1-2g-11-10-psk2,pass
Netgear-EX6120,80cc9c,radio1-2g-11-10-sae,pass
Netgear-EX6120,80cc9c,radio1-2g-11-10-sae-mixed,pass
Netgear-EX6120,80cc9c,radio1-2g-11-1-psk2,pass
Netgear-EX6120,80cc9c,radio1-2g-11-1-sae,pass
Netgear-EX6120,80cc9c,radio1-2g-11-1-sae-mixed,pass
